["in","LEFT"]
["out 1","RIGHT"]
["out 2","RIGHT"]
("in","mode 1",1,"in",1,"transmission",5.91915e-14)
(52, 3)
1.9960671310714284e+14 5.1824904410104677e-02 1.4240335132962010e+00
1.9986163866666666e+14 5.1299334158837764e-02 1.4179580774015426e+00
("in","mode 1",1,"out 1",1,"transmission",2.2184205150776130e-13)
(52, 3)
1.8737028625000000e+14 6.5857561455792968e-01 2.0077431230554379e+00
1.8762521180952381e+14 6.5845364452485966e-01 2.0087128973889770e+00
1.8788013736904762e+14 6.5834115342805932e-01 2.0096568152398855e+00
1.8813506292857144e+14 6.5823933269594637e-01 2.0105737464045208e+00
1.8838998848809525e+14 6.5814786458838914e-01 2.0114650150432700e+00
1.8864491404761903e+14 6.5806366061727117e-01 2.0123331382146339e+00
1.8889983960714284e+14 6.5798059219183935e-01 2.0131794791749842e+00
1.8915476516666666e+14 6.5789044489370763e-01 2.0140021268957917e+00
1.8940969072619047e+14 6.5778466608538388e-01 2.0147951575755063e+00
1.8966461628571428e+14 6.5765608945910148e-01 2.0155496480468926e+00
1.8991954184523809e+14 6.5749990339636144e-01 2.0162558796001484e+00
1.9017446740476191e+14 6.5731359793521960e-01 2.0169056243676358e+00
1.9042939296428572e+14 6.5709618111025303e-01 2.0174935162398926e+00
1.9068431852380953e+14 6.5684727595973114e-01 2.0180171478703528e+00
1.9093924408333334e+14 6.5656663504280444e-01 2.0184762814858277e+00
1.9119416964285712e+14 6.5625422742495187e-01 2.0188719633178573e+00
1.9144909520238094e+14 6.5591062995227734e-01 2.0192061818015419e+00
1.9170402076190475e+14 6.5553726332540607e-01 2.0194821554417866e+00
1.9195894632142856e+14 6.5513616519359763e-01 2.0197047730123696e+00
1.9221387188095238e+14 6.5470937131420526e-01 2.0198805250914154e+00
1.9246879744047619e+14 6.5425831532980705e-01 2.0200165949876623e+00
1.9272372300000000e+14 6.5378371247291212e-01 2.0201194075604096e+00
1.9297864855952381e+14 6.5328609930396542e-01 2.0201934377388682e+00
