("port 1","TE",1,"port 1",1,"modulation")
(1,1)
0.00555
(10000,3)
2.000000e+14	1.691048e-02	4.382747e-01
1.999987e+14	1.664320e-02	4.328855e-01
1.999973e+14	1.637531e-02	4.274991e-01
1.999960e+14	1.610681e-02	4.221158e-01
1.999947e+14	1.583773e-02	4.167357e-01
1.999933e+14	1.556805e-02	4.113590e-01
1.999920e+14	1.529780e-02	4.059858e-01
1.999907e+14	1.502698e-02	4.006165e-01
1.999893e+14	1.475560e-02	3.952511e-01
1.999880e+14	1.448366e-02	3.898900e-01
1.999867e+14	1.421118e-02	3.845334e-01
1.999853e+14	1.393815e-02	3.791815e-01
1.999840e+14	1.366460e-02	3.738346e-01
1.999827e+14	1.339052e-02	3.684931e-01
1.999813e+14	1.311593e-02	3.631574e-01
1.999800e+14	1.284083e-02	3.578277e-01
1.999787e+14	1.256524e-02	3.525045e-01
1.999773e+14	1.228915e-02	3.471883e-01
1.999760e+14	1.201258e-02	3.418796e-01
1.999747e+14	1.173554e-02	3.365788e-01
1.999733e+14	1.145803e-02	3.312867e-01
1.999720e+14	1.118006e-02	3.260038e-01
1.999707e+14	1.090164e-02	3.207308e-01
1.999693e+14	1.062278e-02	3.154686e-01
1.999680e+14	1.034348e-02	3.102181e-01
1.999667e+14	1.006376e-02	3.049802e-01
1.999653e+14	9.783626e-03	2.997561e-01
1.999640e+14	9.503080e-03	2.945470e-01
1.999627e+14	9.222132e-03	2.893542e-01
1.999613e+14	8.940791e-03	2.841794e-01
1.999600e+14	8.659067e-03	2.790244e-01
1.999587e+14	8.376966e-03	2.738911e-01
1.999573e+14	8.094498e-03	2.687819e-01
1.999560e+14	7.811671e-03	2.636995e-01
1.999547e+14	7.528493e-03	2.586467e-01
1.999533e+14	7.244972e-03	2.536273e-01
1.999520e+14	6.961118e-03	2.486453e-01
1.999507e+14	6.676939e-03	2.437056e-01
1.999493e+14	6.392443e-03	2.388138e-01
1.999480e+14	6.107639e-03	2.339767e-01
1.999467e+14	5.822536e-03	2.292025e-01
1.999453e+14	5.537142e-03	2.245008e-01
1.999440e+14	5.251467e-03	2.198837e-01
1.999427e+14	4.965519e-03	2.153657e-01
1.999413e+14	4.679308e-03	2.109654e-01
1.999400e+14	4.392843e-03	2.067057e-01
1.999387e+14	4.106135e-03	2.026163e-01
1.999373e+14	3.819192e-03	1.987357e-01
1.999360e+14	3.532026e-03	1.951151e-01
1.999347e+14	3.244648e-03	1.918239e-01
1.999333e+14	2.957072e-03	1.889583e-01
1.999320e+14	2.669310e-03	1.866566e-01
1.999307e+14	2.381382e-03	1.851237e-01
1.999294e+14	2.093309e-03	1.846775e-01
1.999280e+14	1.805122e-03	1.858395e-01
1.999267e+14	1.516870e-03	1.895275e-01
1.999254e+14	1.228639e-03	1.975206e-01
