["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission")
(23, 3)
1.9486509769999997e+14 5.0430449935816324e-01 -3.5420849592047752e+01
1.9548966532083331e+14 4.8186466690079516e-01 -3.8163880509684795e+01
1.9611423294166666e+14 4.6139652822325783e-01 -4.0903282509736286e+01
1.9673880056250000e+14 4.4315962887943083e-01 -4.3639284599091781e+01
1.9736336818333331e+14 4.2731785066114358e-01 -4.6372327748097732e+01
1.9798793580416666e+14 4.1396338377444120e-01 -4.9102956290703510e+01
1.9861250342500000e+14 4.0316648441532932e-01 -5.1831802381257141e+01
1.9923707104583331e+14 3.9501385979090747e-01 -5.4559675989131485e+01
1.9986163866666666e+14 3.8954810930540140e-01 -5.7287655098131445e+01
("port1","mode 1",1,"port3",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.7785269190471790e-04 1.6372619313476222e+00
1.8799485387083331e+14 3.5442820441596734e-04 2.8953069393960651e+00
1.8861942149166662e+14 2.6898436566394715e-04 4.2656997183680705e+00
1.8924398911249997e+14 2.1813644010750105e-04 5.6823915679809858e+00
1.8986855673333331e+14 2.2725634231337343e-04 7.3527791957663968e+00
1.9049312435416662e+14 2.4420731840498508e-04 8.8899351008236440e+00
1.9111769197499997e+14 2.8976540431694374e-04 1.0176886416716556e+01
1.9174225959583331e+14 3.2378140162086616e-04 1.1498009891556455e+01
1.9236682721666666e+14 3.1081073353449949e-04 1.2721023273585738e+01
1.9299139483749997e+14 3.0127446636043462e-04 1.3960505208975762e+01
1.9359660086208747e+14 2.5374686463279251e-04 1.5262631150307786e+01
1.9361596245833331e+14 2.5185424085993934e-04 1.5304056862594370e+01
1.9363532405457916e+14 2.4997323536521030e-04 1.5345447007905879e+01
1.9424053007916666e+14 2.0804519802624394e-04 1.6671327289605458e+01
1.9486509769999997e+14 1.9339710571172252e-04 1.8251846956597255e+01
1.9548966532083331e+14 1.9389762381433057e-04 1.9807613878450638e+01
1.9611423294166666e+14 2.2640672524003707e-04 2.1202303922562134e+01
1.9673880056250000e+14 2.4830902208950362e-04 2.2565312584589162e+01
1.9736336818333331e+14 2.5111875391471884e-04 2.3805029561836978e+01
1.9798793580416666e+14 2.4840844656629548e-04 2.5087581046072501e+01
1.9861250342500000e+14 2.1229359350873647e-04 2.6365377399907558e+01
1.9923707104583331e+14 1.9061754237165483e-04 2.7661628258895512e+01
1.9986163866666666e+14 1.5638841072683807e-04 2.9129429686290944e+01
("port1","mode 1",1,"port4",1,"transmission")
(23, 3)
1.8737028624999997e+14 5.3415790153667053e-01 1.7659364680793830e+00
1.8799485387083331e+14 5.7541870064138645e-01 -1.3218370005977633e+00
1.8861942149166662e+14 6.1388850695511643e-01 -4.4102059944199006e+00
1.8924398911249997e+14 6.4960653130964296e-01 -7.4991223205420532e+00
1.8986855673333331e+14 6.8266647974414840e-01 -1.0588661042794772e+01
1.9049312435416662e+14 7.1311777033784751e-01 -1.3678868824891842e+01
1.9111769197499997e+14 7.4105529424621819e-01 -1.6769771531890630e+01
1.9174225959583331e+14 7.6654915508218746e-01 -1.9861418710034155e+01
1.9236682721666666e+14 7.8968165905295029e-01 -2.2953800023256598e+01
1.9299139483749997e+14 8.1056466146134909e-01 -2.6046937482046562e+01
1.9359660086208747e+14 8.2874441322298953e-01 -2.2956529091595574e+01
1.9361596245833331e+14 8.2929352329249850e-01 -2.2857674545087278e+01
1.9363532405457916e+14 8.2984067286785068e-01 -2.2758820797419698e+01
1.9424053007916666e+14 8.4596416847940925e-01 -1.9669230872925421e+01
1.9486509769999997e+14 8.6065694818773353e-01 -2.2764804876696687e+01
1.9548966532083331e+14 8.7349128998499770e-01 -2.5861233782318184e+01
1.9611423294166666e+14 8.8453890743303920e-01 -2.8958565084629591e+01
1.9673880056250000e+14 8.9389918083474884e-01 -3.2056782051706371e+01
1.9736336818333331e+14 9.0167947021507899e-01 -3.5155931839974770e+01
1.9798793580416666e+14 9.0795188184200892e-01 -3.8256013347482835e+01
1.9861250342500000e+14 9.1282416843821668e-01 -4.1357040423908302e+01
1.9923707104583331e+14 9.1636904216135573e-01 -4.4459023364642121e+01
1.9986163866666666e+14 9.1868488104695878e-01 -4.7561964814910297e+01
("port2","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 8.3943307424579028e-01 -2.3013358049942734e+00
1.8799485387083331e+14 8.1222193470266024e-01 -5.0705242451824297e+00
1.8861942149166662e+14 7.8395504454635068e-01 -7.8387494892518301e+00
1.8924398911249997e+14 7.5495702218010052e-01 -1.0605787466086042e+01
1.8986855673333331e+14 7.2552236920254098e-01 -1.3371468306549739e+01
1.9049312435416662e+14 6.9590284794269663e-01 -1.6135588354731368e+01
1.9111769197499997e+14 6.6635749522845755e-01 -1.8897921156558802e+01
1.9174225959583331e+14 6.3712717155150433e-01 -2.1658222946911700e+01
1.9236682721666666e+14 6.0846657642767243e-01 -2.4416215729612521e+01
1.9299139483749997e+14 5.8065860585655760e-01 -2.7171665781061780e+01
1.9359660086208747e+14 5.5473814689299206e-01 -3.0033910083912883e+01
1.9361596245833331e+14 5.5392707824077647e-01 -2.9924424378485554e+01
1.9363532405457916e+14 5.5311716895433671e-01 -2.9814935882690087e+01
