["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission")
(23, 3)
1.9111769197499997e+14 8.3212457173906085e-01 1.6156182432546181e+01
1.9174225959583331e+14 8.4976434118441113e-01 1.9208700789427720e+01
1.9236682721666666e+14 8.6537805164349080e-01 2.2260482695229264e+01
1.9299139483749997e+14 8.7903660876943834e-01 2.5311490043418353e+01
1.9359660086208747e+14 8.9051035879068574e-01 2.8267202608662963e+01
1.9361596245833331e+14 8.9084942431963343e-01 2.8361749169529492e+01
1.9363532405457916e+14 8.9118680892534463e-01 2.8456294952352930e+01
1.9424053007916666e+14 9.0091740017067401e-01 3.1411227093204822e+01
1.9486509769999997e+14 9.0932859225000551e-01 3.4459920976359712e+01
1.9548966532083331e+14 9.1616806035659715e-01 3.7507782664571160e+01
1.9611423294166666e+14 9.2151158106262243e-01 4.0554817496803651e+01
1.9673880056250000e+14 9.2547804206688644e-01 4.3600972723740497e+01
1.9736336818333331e+14 9.2813151345005018e-01 4.6646233588191670e+01
1.9798793580416666e+14 9.2958772972306292e-01 4.9690583969808266e+01
1.9861250342500000e+14 9.2991746778355278e-01 5.2734017764282491e+01
1.9923707104583331e+14 9.2921774092918186e-01 5.5776525005177646e+01
1.9986163866666666e+14 9.2752916366099303e-01 5.8818104061082735e+01
("port2","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 7.2884158548301459e-01 1.2858319782063593e-01
1.8799485387083331e+14 6.9818075620797415e-01 -2.7734751028653601e+00
1.8861942149166662e+14 6.6747544538837700e-01 -5.6736715363523071e+00
1.8924398911249997e+14 6.3691190942046727e-01 -8.5717501489498922e+00
1.8986855673333331e+14 6.0674725141763697e-01 -1.1467342096175301e+01
1.9049312435416662e+14 5.7723974912293619e-01 -1.4360152565500144e+01
1.9111769197499997e+14 5.4862473385775712e-01 -1.7249828679074891e+01
1.9174225959583331e+14 5.2116746961421401e-01 -2.0136025495049690e+01
1.9236682721666666e+14 4.9510224409357961e-01 -2.3018447060093308e+01
1.9299139483749997e+14 4.7067025625589476e-01 -2.5896732798409094e+01
1.9359660086208747e+14 4.4883735183388768e-01 -2.8876340038137872e+01
1.9361596245833331e+14 4.4817214839610525e-01 -2.8770582397614362e+01
1.9363532405457916e+14 4.4750910620252837e-01 -2.8664820431269671e+01
1.9424053007916666e+14 4.2792350688898223e-01 -3.1639967284471506e+01
1.9486509769999997e+14 4.1017027317956323e-01 -3.4505235158374319e+01
1.9548966532083331e+14 3.9504385271026093e-01 -3.7366938665486458e+01
1.9611423294166666e+14 3.8264166001958505e-01 -4.0225707270828316e+01
1.9673880056250000e+14 3.7307147251869882e-01 -4.3082380797146769e+01
1.9736336818333331e+14 3.6642521107100856e-01 -4.5938088869229077e+01
1.9798793580416666e+14 3.6273567489572622e-01 -4.8794277408240760e+01
1.9861250342500000e+14 3.6191387797206559e-01 -5.1652570597391609e+01
1.9923707104583331e+14 3.6375875356338044e-01 -5.4514444766620258e+01
1.9986163866666666e+14 3.6800995180380475e-01 -5.7381047669125806e+01
("port2","mode 1",1,"port2",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.1650387212861023e-03 3.0947745573071961e+00
1.8799485387083331e+14 3.0526801042960847e-03 2.8946196599462719e+00
1.8861942149166662e+14 4.1647022314915145e-03 3.0725361132806563e+00
1.8924398911249997e+14 4.2927986893441074e-03 3.7519235380459603e+00
1.8986855673333331e+14 3.6261675797301602e-03 4.7477590086269137e+00
1.9049312435416662e+14 4.2606910018613917e-03 5.8932574466685077e+00
1.9111769197499997e+14 7.0317895401632059e-03 6.7496312345255323e+00
1.9174225959583331e+14 1.1197848910727731e-02 7.4604513399701071e+00
1.9236682721666666e+14 1.5205215660795884e-02 8.1849147511513767e+00
1.9299139483749997e+14 1.6871774220993126e-02 8.9409554747636673e+00
1.9359660086208747e+14 1.4997657127119934e-02 9.6915424178606813e+00
1.9361596245833331e+14 1.4878956232912278e-02 9.7155940078729017e+00
1.9363532405457916e+14 1.4756889505721854e-02 9.7396328845078237e+00
1.9424053007916666e+14 9.5572159334425845e-03 1.0470730815203604e+01
1.9486509769999997e+14 3.0528764788651267e-03 1.0956089244065838e+01
1.9548966532083331e+14 3.2922594094408528e-03 9.5445190815714724e+00
1.9611423294166666e+14 5.9043089224084227e-03 1.0098619462001873e+01
1.9673880056250000e+14 5.4933959766692566e-03 1.0713354426400509e+01
1.9736336818333331e+14 3.6062858843350747e-03 1.0949881674183544e+01
1.9798793580416666e+14 3.7720126518674493e-03 1.0761585547245511e+01
1.9861250342500000e+14 4.5973492147215536e-03 1.1015631422553202e+01
1.9923707104583331e+14 3.9289752570731175e-03 1.1159050923061132e+01
1.9986163866666666e+14 5.1890133524092347e-03 1.0882033656090547e+01
("port2","mode 1",1,"port3",1,"transmission")
(23, 3)
1.8737028624999997e+14 6.7674070919357843e-01 9.6842803861935545e-01
1.8799485387083331e+14 7.0880141310716582e-01 4.0246376203120899e+00
1.8861942149166662e+14 7.3828256262450931e-01 7.0803499478536036e+00
1.8924398911249997e+14 7.6522797203299309e-01 1.0135487943613208e+01
1.8986855673333331e+14 7.8969962558353479e-01 1.3190023422362039e+01
1.9049312435416662e+14 8.1179424923892274e-01 1.6243943589465527e+01
1.9111769197499997e+14 8.3162550543527014e-01 1.9297183369066726e+01
1.9174225959583331e+14 8.4928683688141360e-01 2.2349728597535897e+01
1.9236682721666666e+14 8.6492251327233904e-01 2.5401538931320697e+01
1.9299139483749997e+14 8.7860552999278596e-01 2.8452573773500959e+01
1.9359660086208747e+14 8.9010184487149624e-01 3.1408309804520634e+01
1.9361596245833331e+14 8.9044159870451833e-01 3.1502857123123885e+01
1.9363532405457916e+14 8.9077966803001707e-01 3.1597403666398797e+01
1.9424053007916666e+14 9.0053015765503985e-01 3.4552360336881499e+01
1.9486509769999997e+14 9.0896222681466965e-01 3.7601080438976524e+01
1.9548966532083331e+14 9.1582197606995486e-01 4.0648967083178576e+01
1.9611423294166666e+14 9.2118425103304580e-01 4.3696026288994126e+01
1.9673880056250000e+14 9.2516790769745783e-01 4.6742205324927085e+01
1.9736336818333331e+14 9.2783737895449381e-01 4.9787489346458166e+01
1.9798793580416666e+14 9.2930755337936988e-01 5.2831861542178011e+01
1.9861250342500000e+14 9.2964823582799616e-01 5.5875318068506758e+01
1.9923707104583331e+14 9.2895900384747720e-01 5.8917848751300561e+01
1.9986163866666666e+14 9.2727957364940350e-01 6.1959449030600844e+01
("port2","mode 1",1,"port4",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.8498462545749303e-04 -1.5061174672391200e+00
1.8799485387083331e+14 3.3606600905132880e-04 -2.6095837883112516e-01
1.8861942149166662e+14 2.6798309417510973e-04 1.1094946932437286e+00
1.8924398911249997e+14 2.0683533433203257e-04 2.6346321399509223e+00
1.8986855673333331e+14 2.2154118801314418e-04 4.2060334160387818e+00
1.9049312435416662e+14 2.6999758928691225e-04 5.7713419281538068e+00
1.9111769197499997e+14 2.8391384579536544e-04 7.0705600349252258e+00
1.9174225959583331e+14 3.3290072886776824e-04 8.2721465949346431e+00
1.9236682721666666e+14 3.2084033836435051e-04 9.6097430670663577e+00
1.9299139483749997e+14 2.7314562940795276e-04 1.0765670157596340e+01
1.9359660086208747e+14 2.6295902112224577e-04 1.2078910412641212e+01
1.9361596245833331e+14 2.6172363755764286e-04 1.2126751370773253e+01
1.9363532405457916e+14 2.6040372670094772e-04 1.2174806687439554e+01
1.9424053007916666e+14 1.9419248530147437e-04 1.3678361482418413e+01
1.9486509769999997e+14 1.8181550340956213e-04 1.5074581540923957e+01
1.9548966532083331e+14 2.2518775188865573e-04 1.6686706127372673e+01
1.9611423294166666e+14 2.2228442614469077e-04 1.8112536973170062e+01
1.9673880056250000e+14 2.5629393654461334e-04 1.9305530863404876e+01
1.9736336818333331e+14 2.6038350009315503e-04 2.0688510779981996e+01
1.9798793580416666e+14 2.2278045540749145e-04 2.1870694774842118e+01
1.9861250342500000e+14 2.2270520808058834e-04 2.3189581038696478e+01
1.9923707104583331e+14 1.6706090705029532e-04 2.4638739775985009e+01
1.9986163866666666e+14 1.4925907799126788e-04 2.5887421331517192e+01
("port3","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.8586483785395514e-04 1.6969419525879179e+00
1.8799485387083331e+14 3.5258659885466188e-04 2.9415385935662237e+00
1.8861942149166662e+14 3.0037577963256231e-04 4.2788669581241621e+00
1.8924398911249997e+14 2.3638479932754650e-04 5.7010776624546482e+00
1.8986855673333331e+14 2.2731737413799496e-04 7.1922776381968019e+00
1.9049312435416662e+14 2.4814496269188904e-04 8.8068072298543978e+00
1.9111769197499997e+14 2.5435491086470559e-04 1.0194899948268244e+01
