["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.1427440009293419e-03 -2.9354222731289297e+00
1.8799485387083331e+14 5.7880216007085879e-03 -5.5167237146093218e+00
1.8861942149166662e+14 3.1049815555226402e-03 -2.4655172168113881e+00
1.8924398911249997e+14 2.0102918221691600e-03 -4.8187425045944128e+00
1.8986855673333331e+14 1.1536548550230353e-02 -6.5199473830172172e+00
1.9049312435416662e+14 2.0472993239066671e-02 -4.5252705778273512e+00
1.9111769197499997e+14 5.8055957321818015e-03 -2.6469016420709415e+00
1.9174225959583331e+14 7.5923373529828463e-03 -3.9407646531993317e+00
1.9236682721666666e+14 4.5774754441152470e-04 -9.7467292596036204e-01
1.9299139483749997e+14 9.4055049418475232e-04 -1.3171782180109364e+00
1.9359660086208747e+14 1.9859508337002660e-02 1.2848385116835024e+00
1.9361596245833331e+14 2.0390161239093207e-02 1.3429280255303773e+00
1.9363532405457916e+14 2.0896269390075290e-02 1.4009240605696207e+00
1.9424053007916666e+14 1.7660369326761953e-02 3.1968679914281140e+00
1.9486509769999997e+14 2.0669622517393110e-02 1.8494638057566042e+00
1.9548966532083331e+14 4.0925364220747128e-02 3.6873315555913111e+00
1.9611423294166666e+14 1.3780230602163239e-02 5.4930738639069840e+00
1.9673880056250000e+14 1.5044219135469529e-02 4.2434079493881001e+00
1.9736336818333331e+14 6.6836091307122163e-03 5.9911026488548282e+00
1.9798793580416666e+14 1.0178359389753327e-02 4.7963630927444285e+00
1.9861250342500000e+14 1.8668728580926155e-03 6.2283062294516096e+00
1.9923707104583331e+14 1.2339788165507831e-02 5.2840544001289622e+00
1.9986163866666666e+14 8.4790734371977816e-03 6.8665558582342809e+00
("port1","mode 1",1,"port2",1,"transmission")
(23, 3)
1.8737028624999997e+14 9.7228079446059301e-01 -2.6793180912320427e+00
1.8799485387083331e+14 9.7380308054446341e-01 -8.5874979248070826e-01
1.8861942149166662e+14 9.7521160775793447e-01 9.6146268797664414e-01
1.8924398911249997e+14 9.7648678138430267e-01 2.7812732861507095e+00
1.8986855673333331e+14 9.7761679915114141e-01 4.6004512141267551e+00
1.9049312435416662e+14 9.7873352771406441e-01 6.4190893016676061e+00
1.9111769197499997e+14 9.7988446798019302e-01 8.2372046298028305e+00
1.9174225959583331e+14 9.8092197285289162e-01 1.0054977782858277e+01
1.9236682721666666e+14 9.8181534366165246e-01 1.1872161458462328e+01
1.9299139483749997e+14 9.8262791768279023e-01 1.3688742035291257e+01
1.9359660086208747e+14 9.8339646034889217e-01 1.5448472429480805e+01
1.9361596245833331e+14 9.8341864204230012e-01 1.5504762036087573e+01
1.9363532405457916e+14 9.8344056801444923e-01 1.5561051112222525e+01
1.9424053007916666e+14 9.8401387464268042e-01 1.7320211619302338e+01
1.9486509769999997e+14 9.8449102811130551e-01 1.9134906074659973e+01
1.9548966532083331e+14 9.8502231129521112e-01 2.0948775760592078e+01
1.9611423294166666e+14 9.8580997635884049e-01 2.2762010734256293e+01
1.9673880056250000e+14 9.8669176598098784e-01 2.4574896356787779e+01
1.9736336818333331e+14 9.8732616423059072e-01 2.6387343583123599e+01
1.9798793580416666e+14 9.8770546886811128e-01 2.8199066298570564e+01
1.9861250342500000e+14 9.8802639358443634e-01 3.0009927340905929e+01
1.9923707104583331e+14 9.8845625062861442e-01 3.1820105031987069e+01
1.9986163866666666e+14 9.8889619119778560e-01 3.3629700007199403e+01
("port1","mode 1",1,"port3",1,"transmission")
(23, 3)
1.8737028624999997e+14 7.1421889698913301e-04 1.6039119551719629e+00
1.8799485387083331e+14 6.5561886630643193e-04 3.1072007674490267e+00
1.8861942149166662e+14 5.8215231867550022e-04 4.7040974050732869e+00
1.8924398911249997e+14 5.5010862874514080e-04 6.3763760926075737e+00
1.8986855673333331e+14 5.6141579821630436e-04 8.0174465342054990e+00
1.9049312435416662e+14 5.6721870684312925e-04 9.5828497278292915e+00
1.9111769197499997e+14 5.3066691832594443e-04 1.1111134870337221e+01
1.9174225959583331e+14 4.4711535231347510e-04 1.2663227074291211e+01
1.9236682721666666e+14 3.3951045464803364e-04 1.4326587890364804e+01
1.9299139483749997e+14 2.5939831061762519e-04 1.6221607804011580e+01
1.9359660086208747e+14 2.5736784266742720e-04 1.8178609831930931e+01
1.9361596245833331e+14 2.5838695597105708e-04 1.8239080523389948e+01
1.9363532405457916e+14 2.5944820156779155e-04 1.8299330299500607e+01
