["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.3340742938949937e-03 3.1143513459410626e+00
1.8799485387083331e+14 2.9173220996424592e-03 2.9934437363782158e+00
1.8861942149166662e+14 3.7405381252768270e-03 3.0835803013671006e+00
1.8924398911249997e+14 3.8188538149194523e-03 3.7155194175948556e+00
1.8986855673333331e+14 3.1382853948126697e-03 4.6955603030515674e+00
1.9049312435416662e+14 3.7665875028489735e-03 5.8783391583197036e+00
1.9111769197499997e+14 6.5859797942744601e-03 6.7368691823220219e+00
1.9174225959583331e+14 1.0856143570929849e-02 7.4488695695248826e+00
1.9236682721666666e+14 1.4978851126107605e-02 8.1755782070186953e+00
1.9299139483749997e+14 1.6793601559968643e-02 8.9352633338759997e+00
1.9359660086208747e+14 1.5046359189889435e-02 9.6897623552129275e+00
1.9361596245833331e+14 1.4931945404094199e-02 9.7139668482325909e+00
1.9363532405457916e+14 1.4814175613314082e-02 9.7381644652927086e+00
1.9424053007916666e+14 9.7255663259600538e-03 1.0480280759873946e+01
1.9486509769999997e+14 3.1888906510575718e-03 1.1036079454030784e+01
1.9548966532083331e+14 2.9912363997109961e-03 9.4967172059778733e+00
1.9611423294166666e+14 5.7561361336117816e-03 1.0050392362796023e+01
1.9673880056250000e+14 5.5316370965716238e-03 1.0663727783684875e+01
1.9736336818333331e+14 3.8497260468134519e-03 1.0933492722635251e+01
1.9798793580416666e+14 3.8228123230515886e-03 1.0819942060160130e+01
1.9861250342500000e+14 4.4084288934348207e-03 1.1045845383145091e+01
1.9923707104583331e+14 3.7594629070840618e-03 1.1113608126299821e+01
1.9986163866666666e+14 5.4046421703553066e-03 1.0847411448986566e+01
("port1","mode 1",1,"port2",1,"transmission")
(23, 3)
1.8737028624999997e+14 9.3478637967462663e-01 1.5684934809968529e+00
1.8799485387083331e+14 9.1336236056537934e-01 -1.0627716089399077e+00
1.8861942149166662e+14 8.8975612024924078e-01 -3.6935579811166943e+00
1.8924398911249997e+14 8.6431774763278668e-01 -6.3238847074924731e+00
1.8986855673333331e+14 8.3734818832204594e-01 -8.9536744790573302e+00
1.9049312435416662e+14 8.0916757558816710e-01 -1.1582845329302245e+01
1.9111769197499997e+14 7.8007674696847751e-01 -1.4211289403606326e+01
1.9174225959583331e+14 7.5039626640353185e-01 -1.6838884553808292e+01
1.9236682721666666e+14 7.2041491231226207e-01 -1.9465541527016718e+01
1.9299139483749997e+14 6.9038158096569280e-01 -2.2091097427798061e+01
1.9359660086208747e+14 6.6149260239494456e-01 -2.4828726708687395e+01
1.9361596245833331e+14 6.6057531390716673e-01 -2.4715273546809417e+01
1.9363532405457916e+14 6.5965856984477889e-01 -2.4601818778318911e+01
1.9424053007916666e+14 6.3134001991962974e-01 -2.7337796700447271e+01
1.9486509769999997e+14 6.0301514453602290e-01 -2.9958545606841028e+01
1.9548966532083331e+14 5.7583916653964473e-01 -3.2577482530492972e+01
1.9611423294166666e+14 5.4997474912834832e-01 -3.5194509207619028e+01
1.9673880056250000e+14 5.2557780373417473e-01 -3.7809419689536817e+01
1.9736336818333331e+14 5.0286473022208233e-01 -4.0421941068930686e+01
1.9798793580416666e+14 4.8211203971702843e-01 -4.3031945208869658e+01
1.9861250342500000e+14 4.6355424575330101e-01 -4.5639583313963819e+01
1.9923707104583331e+14 4.4733966089439259e-01 -4.8245156004611282e+01
1.9986163866666666e+14 4.3357082305084305e-01 -5.0849012408670376e+01
("port1","mode 1",1,"port3",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.7965996337823110e-04 1.6543302942136322e+00
1.8799485387083331e+14 3.4811715456975354e-04 2.8871494896973888e+00
1.8861942149166662e+14 2.7515531699174358e-04 4.2543413213213821e+00
1.8924398911249997e+14 2.1914678827682425e-04 5.7097021736346489e+00
1.8986855673333331e+14 2.2336082875785404e-04 7.3404031659848439e+00
1.9049312435416662e+14 2.4850131326639729e-04 8.8722280269572984e+00
1.9111769197499997e+14 2.8972845604893554e-04 1.0186777646204096e+01
1.9174225959583331e+14 3.2135090702178437e-04 1.1486662567631459e+01
1.9236682721666666e+14 3.1353060247611648e-04 1.2720606263801651e+01
1.9299139483749997e+14 2.9914032246733608e-04 1.3962970307555489e+01
1.9359660086208747e+14 2.5470984736028279e-04 1.5256079906245589e+01
1.9361596245833331e+14 2.5295138646227246e-04 1.5297786890686490e+01
1.9363532405457916e+14 2.5119742274749016e-04 1.5339498177894756e+01
1.9424053007916666e+14 2.0865403941634073e-04 1.6678744879601457e+01
1.9486509769999997e+14 1.9335338946250465e-04 1.8245607650273641e+01
1.9548966532083331e+14 1.9575995514031465e-04 1.9807069410027800e+01
1.9611423294166666e+14 2.2512963972607950e-04 2.1199427917683607e+01
1.9673880056250000e+14 2.5032078175700765e-04 2.2556819029184414e+01
1.9736336818333331e+14 2.5015751761784061e-04 2.3813788711433943e+01
1.9798793580416666e+14 2.4752733736198193e-04 2.5071513409506203e+01
1.9861250342500000e+14 2.1613977210664076e-04 2.6377371249985110e+01
1.9923707104583331e+14 1.8526434819931170e-04 2.7662916885524513e+01
1.9986163866666666e+14 1.6077963784208007e-04 2.9094882201160917e+01
("port1","mode 1",1,"port4",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.7097667682611735e-01 -5.7865193261372028e-01
1.8799485387083331e+14 4.2070129594547900e-01 -3.5273533436935147e+00
1.8861942149166662e+14 4.6768428164684628e-01 -6.4765286477280775e+00
1.8924398911249997e+14 5.1193228447485284e-01 -9.4263133619889885e+00
1.8986855673333331e+14 5.5342867109339888e-01 -1.2376751195508715e+01
1.9049312435416662e+14 5.9219823543414118e-01 -1.5327867694834833e+01
1.9111769197499997e+14 6.2827198172504628e-01 -1.8279689851642708e+01
1.9174225959583331e+14 6.6171640855708591e-01 -2.1232227190112230e+01
1.9236682721666666e+14 6.9261134462157603e-01 -2.4185537124008508e+01
1.9299139483749997e+14 7.2101871889224756e-01 -2.7139661718518170e+01
1.9359660086208747e+14 7.4624240342762937e-01 -3.0197779771228763e+01
1.9361596245833331e+14 7.4701301221565486e-01 -3.0094617054352639e+01
1.9363532405457916e+14 7.4778138444538400e-01 -2.9991455142994280e+01
1.9424053007916666e+14 7.7068506401169834e-01 -3.3050421208973674e+01
1.9486509769999997e+14 7.9212176748327168e-01 -3.6007106145633998e+01
1.9548966532083331e+14 8.1140583405610345e-01 -3.8964676605963994e+01
1.9611423294166666e+14 8.2864647440316008e-01 -4.1923149002877622e+01
1.9673880056250000e+14 8.4392951604570787e-01 -4.4882557530481932e+01
1.9736336818333331e+14 8.5734198059710520e-01 -4.7842907025359210e+01
1.9798793580416666e+14 8.6898534528936511e-01 -5.0804215110147823e+01
1.9861250342500000e+14 8.7894947982146832e-01 -5.3766509399952469e+01
1.9923707104583331e+14 8.8731466184686814e-01 -5.6729802486317396e+01
1.9986163866666666e+14 8.9417610774832235e-01 -5.9694102013514190e+01
("port2","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 9.3478671425705218e-01 1.5684934251128810e+00
1.8799485387083331e+14 9.1336248133676867e-01 -1.0627716789093828e+00
1.8861942149166662e+14 8.8975633385064357e-01 -3.6935579594378600e+00
1.8924398911249997e+14 8.6431786548821554e-01 -6.3238850876020818e+00
1.8986855673333331e+14 8.3734831208387484e-01 -8.9536746733877273e+00
1.9049312435416662e+14 8.0916785001705738e-01 -1.1582845633624604e+01
1.9111769197499997e+14 7.8007678918553502e-01 -1.4211289767243988e+01
1.9174225959583331e+14 7.5039632676250323e-01 -1.6838884698902977e+01
1.9236682721666666e+14 7.2041489955223570e-01 -1.9465542349333003e+01
1.9299139483749997e+14 6.9038165753935166e-01 -2.2091097867099041e+01
1.9359660086208747e+14 6.6149272005984472e-01 -2.4828727360355057e+01
1.9361596245833331e+14 6.6057543523294238e-01 -2.4715274187957441e+01
1.9363532405457916e+14 6.5965869383238296e-01 -2.4601819408244975e+01
1.9424053007916666e+14 6.3134000165985016e-01 -2.7337797380769157e+01
1.9486509769999997e+14 6.0301521813478787e-01 -2.9958546145165290e+01
1.9548966532083331e+14 5.7583917792682937e-01 -3.2577483326578815e+01
1.9611423294166666e+14 5.4997466435224807e-01 -3.5194509842776036e+01
1.9673880056250000e+14 5.2557782052332158e-01 -3.7809420453143844e+01
1.9736336818333331e+14 5.0286459793139449e-01 -4.0421941894096840e+01
1.9798793580416666e+14 4.8211195427194176e-01 -4.3031945916907070e+01
1.9861250342500000e+14 4.6355412504829463e-01 -4.5639584257330881e+01
1.9923707104583331e+14 4.4733944824547783e-01 -4.8245156894557255e+01
1.9986163866666666e+14 4.3357073705208254e-01 -5.0849013344494431e+01
("port2","mode 1",1,"port2",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.3337391724862897e-03 3.1143087680329495e+00
1.8799485387083331e+14 2.9171717497854044e-03 2.9934357639980020e+00
1.8861942149166662e+14 3.7403481523059288e-03 3.0835122047548307e+00
1.8924398911249997e+14 3.8188879513284223e-03 3.7155461175555895e+00
1.8986855673333331e+14 3.1383707042980870e-03 4.6956120677933235e+00
