["port1","TOP"]
["port2","TOP"]
["port3","LEFT"]
["port4","RIGHT"]
("port1","mode 1",1,"port1",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.0227889855590903e-03 -3.1401096504807486e+00
1.8799485387083331e+14 2.9665683575133797e-03 -3.4491787676020005e+00
1.8861942149166662e+14 4.3872001785048888e-03 -3.2492633326756883e+00
1.8924398911249997e+14 4.6962870612381009e-03 -2.5346079946827649e+00
1.8986855673333331e+14 4.1155982798020737e-03 -1.5319909706331110e+00
1.9049312435416662e+14 4.7882189203885808e-03 -4.0587808680002480e-01
1.9111769197499997e+14 7.5196186361425168e-03 4.6314335542656576e-01
1.9174225959583331e+14 1.1561600517029702e-02 1.1833980701321969e+00
1.9236682721666666e+14 1.5377673497230786e-02 1.9086398423106887e+00
1.9299139483749997e+14 1.6818693705563742e-02 2.6623175583173211e+00
1.9359660086208747e+14 1.4761264981667842e-02 3.4062711249150293e+00
1.9361596245833331e+14 1.4638281742779443e-02 3.4300422719179195e+00
1.9363532405457916e+14 1.4512017960044784e-02 3.4537961225756337e+00
1.9424053007916666e+14 9.2147679811714032e-03 4.1693254655313350e+00
1.9486509769999997e+14 2.8665660634406539e-03 4.5295638311260262e+00
1.9548966532083331e+14 3.6621888240591337e-03 3.3176815101214587e+00
1.9611423294166666e+14 6.0272790546911535e-03 3.8743282360020479e+00
1.9673880056250000e+14 5.2712082632771192e-03 4.4784749372317876e+00
1.9736336818333331e+14 3.2783554027541284e-03 4.6204798133501184e+00
1.9798793580416666e+14 3.9789276903916650e-03 4.3713223169281399e+00
1.9861250342500000e+14 5.0800961545784265e-03 4.7321065258071533e+00
1.9923707104583331e+14 4.1580077511571322e-03 4.9815450571899369e+00
1.9986163866666666e+14 4.6633344106422120e-03 4.6406135273338309e+00
("port1","mode 1",1,"port2",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.5896545809777572e-01 -1.1551241777181009e+00
1.8799485387083331e+14 4.3204958923484854e-01 1.9805798938441936e+00
1.8861942149166662e+14 4.0710590403056307e-01 -1.1605940644962993e+00
1.8924398911249997e+14 3.8448724004040491e-01 -4.2950316765801331e+00
1.8986855673333331e+14 3.6455944670583496e-01 -7.4226890141460782e+00
1.9049312435416662e+14 3.4763640518864986e-01 -1.0543943710166623e+01
1.9111769197499997e+14 3.3400067143239964e-01 -1.3659621215536372e+01
1.9174225959583331e+14 3.2387816812134118e-01 -1.6771148023601494e+01
1.9236682721666666e+14 3.1738250834071396e-01 -1.9880504671615178e+01
1.9299139483749997e+14 3.1451259579900648e-01 -2.2990005321634165e+01
1.9359660086208747e+14 3.1508138597021901e-01 -1.9917177137123900e+01
1.9361596245833331e+14 3.1515174114746086e-01 -1.9818937339424348e+01
1.9363532405457916e+14 3.1522522161699468e-01 -1.9720702372477909e+01
1.9424053007916666e+14 3.1903143367917358e-01 -1.6652859196612923e+01
1.9486509769999997e+14 3.2573271986802887e-01 -1.9776806512397279e+01
1.9548966532083331e+14 3.3478640229236462e-01 -2.2908601284334786e+01
1.9611423294166666e+14 3.4579054594497716e-01 -2.6048610665970337e+01
1.9673880056250000e+14 3.5840604495015199e-01 -2.2913686841191272e+01
1.9736336818333331e+14 3.7232626821821313e-01 -1.9786824038340622e+01
1.9798793580416666e+14 3.8725180668929038e-01 -1.6667651683354425e+01
1.9861250342500000e+14 4.0289818168553077e-01 -1.3555649394195690e+01
1.9923707104583331e+14 4.1901636552125288e-01 -1.0450211097775117e+01
1.9986163866666666e+14 4.3540077928696080e-01 -7.3506882855617572e+00
("port1","mode 1",1,"port3",1,"transmission")
(23, 3)
1.8737028624999997e+14 4.1351454145672285e-04 1.5513755030848040e+00
1.8799485387083331e+14 3.6110704601828851e-04 3.0233828293000826e+00
1.8861942149166662e+14 2.3221978748091924e-04 4.1537251553384138e+00
1.8924398911249997e+14 2.5420674890328057e-04 5.6340447824856721e+00
1.8986855673333331e+14 2.2392080460636646e-04 7.5343063878554624e+00
1.9049312435416662e+14 2.1788883088833506e-04 8.7963843581798908e+00
1.9111769197499997e+14 3.2832231830047428e-04 1.0186820134724277e+01
1.9174225959583331e+14 2.9981541929928365e-04 1.1606894583278116e+01
1.9236682721666666e+14 3.1023154794113480e-04 1.2579083515321027e+01
1.9299139483749997e+14 3.4342395119120597e-04 1.4030303932751734e+01
1.9359660086208747e+14 2.1429917127608570e-04 1.5388639880307332e+01
1.9361596245833331e+14 2.1036888367087644e-04 1.5419832303107055e+01
1.9363532405457916e+14 2.0663227635378095e-04 1.5449995947979096e+01
1.9424053007916666e+14 2.0857145203861266e-04 1.6429226533602339e+01
