["in","LEFT"]
["out 1","RIGHT"]
["out 2","RIGHT"]
("in","mode 1",1,"in",1,"transmission",-3.25806e-14)
(52, 3)
1.9297864855952381e+14 5.8165975939142012e-01 -1.5120938892417521e+00
1.9323357411904762e+14 5.8473930066502877e-01 -1.5139129197830861e+00
1.9348849967857144e+14 5.8778085684389247e-01 -1.5148161477069684e+00
1.9359660086208747e+14 5.8905874603760588e-01 -1.5149258665155825e+00
1.9363532405457916e+14 5.8951476560799687e-01 -1.5149258665155825e+00
1.9374342523809522e+14 5.9078296769309080e-01 -1.5148166192174812e+00
1.9399835079761903e+14 5.9374573139622711e-01 -1.5139256748801588e+00
1.9425327635714284e+14 5.9667017919253651e-01 -1.5121509506576549e+00
1.9450820191666666e+14 5.9955698970803029e-01 -1.5094955656266886e+00
1.9476312747619047e+14 6.0240514860501837e-01 -1.5059589562330498e+00
1.9501805303571428e+14 6.0521122125454363e-01 -1.5015389936363739e+00
1.9527297859523809e+14 6.0796961618171719e-01 -1.4962343577252246e+00
1.9552790415476191e+14 6.1067371330881370e-01 -1.4900459973239177e+00
1.9578282971428572e+14 6.1331727324136831e-01 -1.4829769786944877e+00
1.9603775527380953e+14 6.1589538209334005e-01 -1.4750308871968001e+00
1.9629268083333331e+14 6.1840442665192874e-01 -1.4662097524075048e+00
1.9654760639285712e+14 6.2084113122422990e-01 -1.4565127729587581e+00
1.9680253195238094e+14 6.2320124431257762e-01 -1.4459367250935053e+00
1.9705745751190475e+14 6.2547873200634141e-01 -1.4344780155971899e+00
1.9731238307142856e+14 6.2766613984702613e-01 -1.4221353523748983e+00
1.9756730863095238e+14 6.2975618723908344e-01 -1.4089114930051536e+00
1.9782223419047619e+14 6.3174394385645549e-01 -1.3948128234556458e+00
1.9807715975000000e+14 6.3362848537487315e-01 -1.3798465464050957e+00
1.9833208530952381e+14 6.3541301715874909e-01 -1.3640165516972680e+00
1.9858701086904762e+14 6.3710311008388520e-01 -1.3473199395533204e+00
1.9884193642857141e+14 6.3870363392208884e-01 -1.3297461483952528e+00
1.9909686198809522e+14 6.4021574180037699e-01 -1.3112796063337087e+00
1.9935178754761903e+14 6.4163543923213873e-01 -1.2919051908993682e+00
1.9960671310714284e+14 6.4295470541331778e-01 -1.2716142980392935e+00
1.9986163866666666e+14 6.4416501862215070e-01 -1.2504087368807477e+00
("in","mode 1",1,"out 2",1,"transmission",1.8413209851720602e-13)
(52, 3)
1.8737028625000000e+14 5.0727775191942137e-01 -1.2163124293311278e+00
1.8762521180952381e+14 5.1093186871021334e-01 -1.2400728770372149e+00
1.8788013736904762e+14 5.1454606609488296e-01 -1.2628508433025680e+00
1.8813506292857144e+14 5.1812931702408260e-01 -1.2846423421679276e+00
1.8838998848809525e+14 5.2168855990258944e-01 -1.3054367403039333e+00
1.8864491404761903e+14 5.2522755843893509e-01 -1.3252209072861210e+00
1.8889983960714284e+14 5.2874709258268227e-01 -1.3439832981892523e+00
1.8915476516666666e+14 5.3224615255597574e-01 -1.3617165237745310e+00
1.8940969072619047e+14 5.3572343826486502e-01 -1.3784177817462204e+00
1.8966461628571428e+14 5.3917843672349663e-01 -1.3940875220577083e+00
1.8991954184523809e+14 5.4261165196573191e-01 -1.4087274374613779e+00
1.9017446740476191e+14 5.4602403190686699e-01 -1.4223389995861324e+00
1.9042939296428572e+14 5.4941603787791915e-01 -1.4349232890900612e+00
1.9068431852380953e+14 5.5278694281506879e-01 -1.4464820747384757e+00
1.9093924408333334e+14 5.5613476996962330e-01 -1.4570194006212061e+00
1.9119416964285712e+14 5.5945690288690342e-01 -1.4665426897317759e+00
1.9144909520238094e+14 5.6275101784713411e-01 -1.4750626692506341e+00
1.9170402076190475e+14 5.6601581304351156e-01 -1.4825920860249040e+00
1.9195894632142856e+14 5.6925112499560249e-01 -1.4891438442087621e+00
1.9221387188095238e+14 5.7245736588825469e-01 -1.4947295043420243e+00
1.9246879744047619e+14 5.7563459804869899e-01 -1.4993588728351968e+00
1.9272372300000000e+14 5.7878177408120679e-01 -1.5030407992150903e+00
1.9297864855952381e+14 5.8189659360852197e-01 -1.5057846165662210e+00
1.9323357411904762e+14 5.8497609509979087e-01 -1.5076012788503146e+00
1.9348849967857144e+14 5.8801768746914973e-01 -1.5085033816459288e+00
1.9359660086208747e+14 5.8929565137695383e-01 -1.5086129719064290e+00
1.9363532405457916e+14 5.8975170923101794e-01 -1.5086129719064290e+00
1.9374342523809522e+14 5.9102005437318927e-01 -1.5085038431654842e+00
1.9399835079761903e+14 5.9398339004797762e-01 -1.5076137656566531e+00
1.9425327635714284e+14 5.9690875039548541e-01 -1.5058404964982570e+00
1.9450820191666666e+14 5.9979676585739838e-01 -1.5031868833984432e+00
1.9476312747619047e+14 6.0264631993942364e-01 -1.4996521601708972e+00
1.9501805303571428e+14 6.0545385129774232e-01 -1.4952340847631387e+00
1.9527297859523809e+14 6.0821364411879197e-01 -1.4899313029857801e+00
1.9552790415476191e+14 6.1091897088298086e-01 -1.4837447811665221e+00
1.9578282971428572e+14 6.1356350163699869e-01 -1.4766776296775168e+00
1.9603775527380953e+14 6.1614224069834245e-01 -1.4687334974520503e+00
1.9629268083333331e+14 6.1865149677976361e-01 -1.4599145100859559e+00
1.9654760639285712e+14 6.2108792728627482e-01 -1.4502200155871614e+00
1.9680253195238094e+14 6.2344724662962803e-01 -1.4396470015105653e+00
1.9705745751190475e+14 6.2572344734825824e-01 -1.4281921272140279e+00
1.9731238307142856e+14 6.2790918108103444e-01 -1.4158543415245985e+00
1.9756730863095238e+14 6.2999734939767171e-01 -1.4026365612507168e+00
1.9782223419047619e+14 6.3198324842123477e-01 -1.3885451908198894e+00
1.9807715975000000e+14 6.3386617211375085e-01 -1.3735872909257141e+00
1.9833208530952381e+14 6.3564948171268110e-01 -1.3577664830100005e+00
1.9858701086904762e+14 6.3733880780602681e-01 -1.3410795513213951e+00
1.9884193642857141e+14 6.3893898563200768e-01 -1.3235156639546601e+00
1.9909686198809522e+14 6.4045107700546744e-01 -1.3050590923919623e+00
1.9935178754761903e+14 6.4187099561015459e-01 -1.2856946835813285e+00
1.9960671310714284e+14 6.4319067647238759e-01 -1.2654138793862337e+00
1.9986163866666666e+14 6.4440161642366556e-01 -1.2442185232522183e+00
("out 1","mode 1",1,"in",1,"transmission",1.8409307578958593e-13)
(52, 3)
1.8737028625000000e+14 5.0713163371845593e-01 -1.2242728859923948e+00
1.8762521180952381e+14 5.1084762327127542e-01 -1.2480559205509254e+00
1.8788013736904762e+14 5.1453142696922305e-01 -1.2708138633361179e+00
1.8813506292857144e+14 5.1818291269499983e-01 -1.2925447220391300e+00
1.8838998848809525e+14 5.2180203565508543e-01 -1.3132465601463963e+00
1.8864491404761903e+14 5.2538879857148746e-01 -1.3329177776668684e+00
1.8889983960714284e+14 5.2894323587870284e-01 -1.3515573905053038e+00
1.8915476516666666e+14 5.3246542212774217e-01 -1.3691652808813615e+00
1.8940969072619047e+14 5.3595550050311758e-01 -1.3857423950315075e+00
1.8966461628571428e+14 5.3941372387591069e-01 -1.4012908708649321e+00
1.8991954184523809e+14 5.4284049857250649e-01 -1.4158140863546653e+00
1.9017446740476191e+14 5.4623642028135300e-01 -1.4293166281665650e+00
1.9042939296428572e+14 5.4960229229734581e-01 -1.4418041883112762e+00
1.9068431852380953e+14 5.5293911846936172e-01 -1.4532834035028890e+00
1.9093924408333334e+14 5.5624806645837477e-01 -1.4637616567070872e+00
1.9119416964285712e+14 5.5953040079492411e-01 -1.4732468626133908e+00
1.9144909520238094e+14 5.6278738924040261e-01 -1.4817472583540354e+00
1.9170402076190475e+14 5.6602018959600597e-01 -1.4892712178961722e+00
1.9195894632142856e+14 5.6922972690859874e-01 -1.4958271036312569e+00
1.9221387188095238e+14 5.7241657264237245e-01 -1.5014231624488772e+00
1.9246879744047619e+14 5.7558083761090262e-01 -1.5060674668377507e+00
1.9272372300000000e+14 5.7872208925479052e-01 -1.5097678951505098e+00
1.9297864855952381e+14 5.8183930133517381e-01 -1.5125321399091021e+00
1.9323357411904762e+14 5.8493084058136813e-01 -1.5143677295572255e+00
1.9348849967857144e+14 5.8799449070116627e-01 -1.5152820478245501e+00
1.9359660086208747e+14 5.8928455852808637e-01 -1.5153933732096092e+00
1.9363532405457916e+14 5.8974529390580266e-01 -1.5153933732096092e+00
1.9374342523809522e+14 5.9102750994108799e-01 -1.5152823359972027e+00
1.9399835079761903e+14 5.9402671460975776e-01 -1.5143756667455530e+00
1.9425327635714284e+14 5.9698857815683581e-01 -1.5125688832834119e+00
1.9450820191666666e+14 5.9990933393891444e-01 -1.5098685038233639e+00
1.9476312747619047e+14 6.0278506994650227e-01 -1.5062805976606910e+00
1.9501805303571428e+14 6.0561180554716987e-01 -1.5018106448304629e+00
1.9527297859523809e+14 6.0838554352189300e-01 -1.4964633952579933e+00
1.9552790415476191e+14 6.1110229491557588e-01 -1.4902427450054916e+00
1.9578282971428572e+14 6.1375807889783063e-01 -1.4831516462494194e+00
1.9603775527380953e+14 6.1634890424795019e-01 -1.4751920640543861e+00
1.9629268083333331e+14 6.1887074255777830e-01 -1.4663649872766862e+00
1.9654760639285712e+14 6.2131950521735546e-01 -1.4566704938453152e+00
1.9680253195238094e+14 6.2369103634710044e-01 -1.4461078632706559e+00
1.9705745751190475e+14 6.2598113197618643e-01 -1.4346757226773075e+00
1.9731238307142856e+14 6.2818559214896441e-01 -1.4223722080044621e+00
1.9756730863095238e+14 6.3030030776115642e-01 -1.4091951200912736e+00
